chart_name,date,title,artist,rank,weeks,peakPos,lastPos,change,spotifyLink
hot-100,6/18/16,Peter Pan,Kelsea Ballerini,92,1,92,0,New,https://embed.spotify.com/?uri=spotify:track:2wqXQjOmQ9KoBm9Ssgt4Fo
hot-100,6/18/16,Make You Miss Me,Sam Hunt,93,1,93,0,New,https://embed.spotify.com/?uri=spotify:track:5BbYPT6ehZf0hSv2su6JAl
hot-100,6/18/16,Kiss It Better,Rihanna,94,9,62,91,-3,https://embed.spotify.com/?uri=spotify:track:1dI1pt7GNjMI6pbSOd2MD6
hot-100,6/18/16,Hasta El Amanecer,Nicky Jam,95,2,95,98,3,https://embed.spotify.com/?uri=spotify:track:4wFHfY9IILHLNwakPuFogD
hot-100,6/18/16,Ophelia,The Lumineers,96,6,66,97,1,https://embed.spotify.com/?uri=spotify:track:0IOFbRuU9O7BsRMVBT6Rbo
hot-100,6/18/16,No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz,97,2,86,0,Re-Entry,https://embed.spotify.com/?uri=spotify:track:0v9Wz8o0BT8DU38R4ddjeH
hot-100,6/18/16,Different For Girls,Dierks Bentley Featuring Elle King,98,1,98,0,New,https://embed.spotify.com/?uri=spotify:track:0iIReFSw0XoZ61SDy5uaqU
hot-100,6/18/16,Fix,Chris Lane,99,1,99,0,New,https://embed.spotify.com/?uri=spotify:track:7dPEZhhG9RD6FwRHpqIJPw
hot-100,6/18/16,"Sit Still, Look Pretty",Daya,100,1,100,0,New,https://embed.spotify.com/?uri=spotify:track:1sSNWjLtY4GwyhqAwAnPD9
hot-100,6/11/16,One Dance,Drake Featuring WizKid & Kyla,1,8,1,1,0,https://embed.spotify.com/?uri=spotify:track:11hqMWwX7sF3sOGdtijofF
hot-100,6/11/16,Panda,Desiigner,2,14,1,2,0,https://embed.spotify.com/?uri=spotify:track:6r2jK1A6oFRPREZfxjc5d1
hot-100,6/11/16,Can't Stop The Feeling!,Justin Timberlake,3,3,1,3,0,https://embed.spotify.com/?uri=spotify:track:6JV2JOEocMgcZxYSZelKcc
hot-100,6/11/16,Work From Home,Fifth Harmony Featuring Ty Dolla $ign,4,13,4,5,1,https://embed.spotify.com/?uri=spotify:track:0SJPThTy7ynySPF4euczx7
hot-100,6/11/16,Don't Let Me Down,The Chainsmokers Featuring Daya,5,15,5,6,1,https://embed.spotify.com/?uri=spotify:track:1i1fxkWeaMmKEB4T7zqbzK
hot-100,6/11/16,7 Years,Lukas Graham,6,19,2,4,-2,https://embed.spotify.com/?uri=spotify:track:7129iqBafaphfc3WPCGC0L
hot-100,6/11/16,I Took A Pill In Ibiza,Mike Posner,7,19,4,7,0,https://embed.spotify.com/?uri=spotify:track:5M2j5k8uS08xE8HnGVgabR
hot-100,6/11/16,Dangerous Woman,Ariana Grande,8,11,8,14,6,https://embed.spotify.com/?uri=spotify:track:6T506SFlFUVVNvnmCiVZR0
hot-100,6/11/16,Needed Me,Rihanna,9,17,8,10,1,https://embed.spotify.com/?uri=spotify:track:3kfxarilcBr81mb2hmZLeh
hot-100,6/11/16,Work,Rihanna Featuring Drake,10,18,1,8,-2,https://embed.spotify.com/?uri=spotify:track:50R3hdsZQeg3k8zJdVphSZ
hot-100,6/11/16,This Is What You Came For,Calvin Harris Featuring Rihanna,11,4,9,12,1,https://embed.spotify.com/?uri=spotify:track:0azC730Exh71aQlOt9Zj3y
hot-100,6/11/16,Pillowtalk,Zayn,12,17,1,9,-3,https://embed.spotify.com/?uri=spotify:track:0IKK48xF4eEdfofyaeKWWO
hot-100,6/11/16,Never Forget You,Zara Larsson & MNEK,13,15,13,13,0,
hot-100,6/11/16,Cake By The Ocean,DNCE,14,32,9,17,3,https://embed.spotify.com/?uri=spotify:track:7L5jgZtAyfiU7elB8DIqCx
hot-100,6/11/16,Close,Nick Jonas Featuring Tove Lo,15,9,15,24,9,https://embed.spotify.com/?uri=spotify:track:2LbbLV26X7K1kLzI7xXFE2
hot-100,6/11/16,Just Like Fire,P!nk,16,6,10,26,10,https://embed.spotify.com/?uri=spotify:track:7K5dzhGda2vRTaAWYI3hrb
hot-100,6/11/16,Love Yourself,Justin Bieber,17,28,1,11,-6,https://embed.spotify.com/?uri=spotify:track:3hB5DgAiMAQ4DzYbsMq1IT
hot-100,6/11/16,Stressed Out,twenty one pilots,18,36,2,15,-3,https://embed.spotify.com/?uri=spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn
